date.time	NTU
43148.44805	0.074
43148.44806	0.088
43148.45837	0.096
43148.45839	0.074
43148.4584	0.081
43148.45841	0.074
43148.45842	0.066
43148.45844	0.088
43148.45845	0.081
43148.45846	0.088
43148.45847	0.066
43148.45848	0.059
43148.46887	0.074
43148.46889	0.066
43148.4689	0.074
43148.47921	0.111
43148.47922	0.074
43148.47923	0.096
43148.47925	0.066
43148.47926	0.059
43148.47927	0.066
43148.47928	0.081
43148.47929	0.081
43148.4793	0.096
43148.47931	0.081
43148.48973	0.074
43148.50004	0.081
43148.50006	0.081
43148.50007	0.081
43148.50008	0.088
43148.50009	0.088
43148.5001	0.088
43148.50011	0.088
43148.50012	0.081
43148.50014	0.081
43148.50015	0.081
43148.51046	0.074
43148.51047	0.081
43148.52087	0.081
43148.52089	0.074
43148.5209	0.081
43148.52091	0.059
43148.52092	0.081
43148.52094	0.074
43148.52095	0.059
43148.52096	0.066
43148.52097	0.074
43148.52098	0.066
43148.53129	0.074
43148.53131	0.066
43148.53132	0.088
43148.54172	0.081
43148.54173	0.066
43148.54175	0.066
43148.54176	0.066
43148.54177	0.088
43148.54178	0.088
43148.54179	0.081
43148.5418	0.095
43148.54181	0.073
43148.55212	0.066
43148.55214	0.088
43148.55215	0.081
43148.55216	0.044
43148.56257	0.051
43148.56258	0.059
43148.56259	0.066
43148.5626	0.059
43148.56261	0.088
43148.56262	0.088
43148.56264	0.059
43148.56265	0.059
43148.57296	0.051
43148.57297	0.073
43148.57298	0.073
43148.573	0.081
43148.57301	0.081
43148.58342	0.081
43148.58344	0.066
43148.58345	0.059
43148.58346	0.059
43148.58347	0.059
43148.58348	0.095
43148.59379	0.081
43148.59381	0.081
43148.59382	0.073
43148.59383	0.073
43148.59384	0.051
43148.59385	0.073
43148.60426	0.044
43148.60427	0.066
43148.60428	0.081
43148.60429	0.095
43148.6043	0.095
43148.60431	0.073
43148.61462	0.066
43148.61464	0.081
43148.61465	0.059
43148.61466	0.066
43148.61467	0.088
43148.61469	0.059
43148.6147	0.066
43148.6251	0.059
43148.62511	0.051
43148.62512	0.051
43148.62514	0.073
43148.62515	0.066
43148.63546	0.073
