date.time	ntu
43150.19804	0.008
43151.30212	0.024
43148.13553	0.016
43150.1563	0.024
43151.29181	0
43148.13554	0.024
43148.42722	0
43148.43759	0.032
43150.2397	0.008
43151.25004	0.008
43148.13551	0.032
43151.30216	0.016
43148.4272	0.024
43150.19799	0.008
43150.35425	0.024
43151.30215	0
43148.42717	0.008
43150.23973	0.008
43150.19801	0.016
43147.36473	0
43148.43757	0.008
43151.25006	0
43147.37505	0.024
43147.37506	0.016
43148.13548	0
43150.198	0.032
43150.35428	0.008
43151.25005	0.04
43151.30213	0.016
43150.19798	0.024
43148.13556	0.008
43150.15629	0.008
43151.2918	0.008
43147.37504	0.008
43148.13555	0.016
43150.19797	0.016
43150.23972	0
43150.25009	0.032
43150.15634	-0.008
43150.14593	-0.024
43147.38546	0.016
43148.97922	0.016
43151.2397	0.008
43147.37514	0.024
43149.40629	0.032
43151.23972	0.024
43151.25009	0
43151.3022	0
43151.35421	0
43150.14598	0
43150.18764	0.016
43147.37507	0.008
43149.39597	0
43150.10421	0.008
43150.19805	0.04
43151.2501	0.032
43151.30217	0.008
43150.05213	0.016
43150.14592	0.008
43150.14594	0.008
43150.15632	0.024
43148.97923	0.016
43150.10424	0.016
43150.14596	0.024
43150.19806	0.016
43151.30222	0.048
43149.4063	0
43150.10422	0.016
43150.14595	0.016
43150.18763	0.024
43151.23967	0.008
43150.05212	0.008
43151.19796	0.016
43147.37512	0
43147.37513	0.016
43149.39598	0.032
43150.10423	0.008
43147.37509	0.032
43149.40631	0.024
43149.40632	0.024
43150.15631	0.024
43151.23969	0
43147.37511	0.024
43148.97921	0.024
43149.39595	0.016
43150.05215	0.008
43151.23968	0.024
43147.3751	0.016
43150.14591	0.008
43151.23973	0.016
43151.35422	0.024
43151.35424	-0.008
43151.13548	-0.008
43151.35426	-0.008
43148.12514	-0.008
43150.10429	-0.008
43151.14587	-0.016
43148.12513	0.04
43148.96889	0
43151.14591	0.032
43148.96885	0
43148.96888	0.032
43149.40634	0.024
43151.34388	0.016
43148.92712	0.008
