date.time	ntu	max.spectra	sum.irr
43424.03136	0.203	0.002	-0.026
43424.03137	0.187	0.004	-0.024
43424.03138	0.195	0.004	-0.026
43424.03139	0.195	0.005	-0.019
43424.04171	0.22	0.005	-0.024
43424.04172	0.22	0.001	-0.031
43424.04173	0.212	0.003	-0.028
43424.04174	0.203	0.006	-0.019
43424.04175	0.236	0.005	-0.022
43424.04176	0.187	0.004	-0.017
43424.04178	0.22	0.006	-0.036
43424.04179	0.228	0.001	-0.018
43424.0418	0.22	0.004	-0.021
43424.04181	0.228	0.004	-0.027
43424.05212	0.212	0.006	-0.015
43424.05214	0.203	0.004	-0.018
43424.05215	0.212	0.004	-0.016
43424.05216	0.236	0.002	-0.021
43424.05217	0.195	0.004	-0.022
43424.05218	0.195	0.004	-0.029
43424.05219	0.212	0.006	-0.014
43424.0522	0.203	0.004	-0.023
43424.05222	0.212	0.003	-0.029
43424.05223	0.203	0.004	-0.019
43424.06254	0.204	0.005	-0.03
43424.06255	0.228	0.003	-0.024
43424.06256	0.22	0.005	-0.013
43424.06259	0.195	0.004	-0.023
43424.0626	0.212	0.003	-0.021
43424.06261	0.212	0.004	-0.026
43424.06262	0.187	0.005	-0.022
43424.06263	0.228	0.002	-0.019
43424.06264	0.228	0.004	-0.02
43424.07296	0.204	0.004	-0.017
43424.07297	0.212	0.003	-0.027
43424.07298	0.22	0.003	-0.022
43424.07299	0.236	0.004	-0.021
43424.073	0.22	0.004	-0.027
43424.07301	0.195	0.006	-0.025
43424.07306	0.187	0.006	-0.027
43424.08337	0.204	0.005	-0.024
43424.08339	0.22	0.004	-0.03
43424.0834	0.195	0.004	-0.024
43424.08341	0.22	0.006	-0.014
43424.08342	0.212	0.004	-0.02
43424.08343	0.212	0.004	-0.023
43424.08344	0.22	0.003	-0.026
43424.08345	0.187	0.006	-0.019
43424.08347	0.22	0.004	-0.02
43424.08348	0.212	0.006	-0.02
43424.09379	0.204	0.004	-0.028
43424.0938	0.244	0.005	-0.02
43424.09381	0.195	0.002	-0.028
43424.09383	0.236	0.006	-0.02
43424.09384	0.179	0.002	-0.027
43424.09385	0.179	0.004	-0.023
43424.09386	0.195	0.005	-0.025
43424.09387	0.195	0.003	-0.024
43424.09388	0.195	0.005	-0.036
43424.09389	0.195	0.003	-0.022
43424.10421	0.22	0.002	-0.035
43424.10422	0.22	0.004	-0.026
43424.10423	0.212	0.003	-0.022
43424.10424	0.187	0.005	-0.028
43424.10425	0.212	0.004	-0.031
43424.10426	0.195	0.004	-0.028
43424.10428	0.204	0.005	-0.015
43424.10429	0.22	0.003	-0.022
43424.1043	0.228	0.003	-0.018
43424.10431	0.22	0.002	-0.023
43424.11462	0.22	0.004	-0.026
43424.11464	0.204	0.005	-0.042
43424.11465	0.212	0.003	-0.017
43424.11466	0.204	0.004	-0.018
43424.11467	0.195	0.004	-0.025
43424.11468	0.212	0.005	-0.023
43424.11469	0.196	0.004	-0.017
43424.1147	0.22	0.004	-0.018
43424.11472	0.204	0.002	-0.025
43424.11473	0.187	0.004	-0.018
43424.12504	0.212	0.031	0.019
43424.12505	0.212	0.004	-0.008
43424.12506	0.204	0.004	-0.02
43424.12508	0.204	0.004	-0.024
43424.12509	0.179	0.006	-0.019
43424.1251	0.236	0.003	-0.027
43424.12511	0.195	0.002	-0.023
43424.12512	0.22	0.003	-0.022
43424.12513	0.228	0.002	-0.027
43424.12514	0.212	0.004	-0.016
43424.13546	0.187	0.003	-0.023
43424.13547	0.22	0.004	-0.025
43424.13548	0.212	0.003	-0.019
43424.13549	0.22	0.004	-0.015
43424.1355	0.228	0.003	-0.033
43424.13551	0.212	0.004	-0.024
43424.13553	0.187	0.005	-0.024
43424.13554	0.212	0.011	-0.008
43424.13555	0.228	0.002	-0.026
43424.13556	0.203	0.004	-0.03
43424.14587	0.212	0.002	-0.029
43424.14589	0.187	0.004	-0.02
43424.1459	0.212	0.004	-0.017
43424.14591	0.212	0.006	-0.016
43424.14592	0.212	0.004	-0.018
43424.14593	0.212	0.003	-0.013
43424.14594	0.212	0.004	-0.009
43424.14595	0.187	0.004	-0.019
43424.14597	0.212	0.005	-0.024
43424.14598	0.187	0.004	-0.012
43424.15629	0.212	0.013	0.002
43424.1563	0.228	0.004	-0.023
43424.15631	0.204	0.003	-0.02
43424.15633	0.212	0.005	-0.015
43424.15634	0.195	0.005	-0.012
43424.15635	0.187	0.003	-0.011
43424.15636	0.212	0.006	-0.015
43424.15637	0.195	0.005	-0.009
43424.15638	0.228	0.003	-0.012
43424.15639	0.195	0.004	-0.019
43424.16671	0.212	0.005	-0.015
43424.16672	0.204	0.023	0.041
43424.16673	0.179	0.008	0.015
43424.16674	0.187	0.007	0.013
43424.16675	0.195	0.008	0.01
43424.16676	0.195	0.007	0.015
43424.16678	0.22	0.006	0.018
43424.16679	0.203	0.007	0.026
43424.1668	0.187	0.007	0.016
43424.16681	0.212	0.007	0.021
43424.17712	0.203	0.52	2.565
43424.17714	0.203	0.525	2.572
43424.17715	0.203	0.531	2.584
43424.17716	0.236	0.552	2.635
43424.17717	0.22	0.537	2.619
43424.17718	0.228	0.537	2.635
43424.17719	0.195	0.542	2.638
43424.1772	0.203	0.544	2.654
43424.17722	0.187	0.546	2.672
43424.17723	0.212	1.596	8.784
43424.18754	0.188	1.599	8.772
43424.18755	0.188	1.599	8.799
43424.18756	0.156	1.606	8.842
43424.18757	0.18	1.613	8.879
43424.18759	0.172	1.613	8.883
43424.1876	0.18	1.618	8.904
43424.18761	0.205	1.624	8.929
43424.18762	0.188	1.628	8.958
43424.18763	0.18	3.924	21.608
43424.18764	0.188	3.929	21.728
43424.19796	0.189	3.931	21.761
43424.19797	0.189	3.938	21.801
43424.19798	0.181	3.934	21.819
43424.19799	0.197	3.946	21.85
43424.198	0.189	3.948	21.866
43424.19801	0.189	3.95	21.885
43424.19803	0.205	3.949	21.895
43424.19804	0.205	7.105	39.691
43424.19805	0.197	7.091	39.612
43424.19806	0.205	7.077	39.537
43424.20837	0.173	7.062	39.466
43424.20839	0.189	7.053	39.397
43424.2084	0.206	7.042	39.332
43424.20841	0.198	7.031	39.28
43424.20842	0.198	7.021	39.221
43424.20843	0.181	7.016	39.172
43424.20844	0.206	17.939	101.25
43424.20845	0.214	17.944	101.285
43424.20847	0.173	17.958	101.321
43424.20848	0.197	17.954	101.337
43424.21879	0.206	17.962	101.379
43424.2188	0.173	17.969	101.429
43424.21881	0.206	17.977	101.473
43424.21883	0.198	17.989	101.527
43424.21884	0.214	17.995	101.561
43424.21885	0.214	0.538	2.939
43424.21886	0.198	0.534	2.924
43424.21887	0.19	0.547	2.946
43424.21888	0.198	0.535	2.94
43424.21889	0.206	0.538	2.94
43424.22921	0.181	0.538	2.946
43424.22922	0.181	0.54	2.946
43424.22923	0.198	0.537	2.932
43424.22924	0.198	0.538	2.952
43424.22925	0.181	43.615	247.968
43424.22926	0.198	43.371	246.596
43424.22928	0.198	43.111	245.067
43424.22929	0.198	42.375	241.022
43424.2293	0.198	35.732	204.043
43424.22931	0.181	32.072	182.978
43424.23962	0.189	33.509	191.182
43424.23964	0.181	33.751	192.546
43424.23965	0.214	34.832	198.36
43424.23966	0.206	47.677	271.767
43424.23967	0.206	47.852	272.884
43424.23968	0.173	47.944	273.449
43424.23969	0.181	48.071	274.204
43424.2397	0.189	48.23	275.126
43424.23972	0.206	48.256	275.297
43424.23973	0.214	48.379	276.029
43424.25004	0.197	48.432	276.184
43424.25005	0.173	46.872	268.346
43424.25006	0.205	33.982	192.066
43424.25008	0.181	33.622	189.201
43424.25009	0.214	32.707	184.716
43424.2501	0.214	33.323	187.593
43424.25011	0.205	32.957	186.236
43424.25012	0.189	33.537	189.088
43424.25013	0.205	33.848	191.25
43424.25014	0.197	31.952	180.936
43424.26046	0.213	30.118	169.32
43424.26047	0.221	44.03	248.876
43424.26048	0.197	43.591	246.378
43424.26049	0.18	43.507	245.598
43424.2605	0.197	43.469	245.411
43424.26051	0.213	42.647	240.785
43424.26053	0.213	41.741	235.369
43424.26054	0.221	43.128	243.17
43424.26055	0.197	41.531	234.841
43424.26056	0.213	39.466	223.845
43424.27087	0.09	64.846	369.689
43424.27089	0.098	65.574	372.392
43424.2709	0.074	65.799	374.962
43424.27091	0.082	65.572	373.325
43424.27092	0.098	65.826	374.718
43424.27093	0.114	65.636	373.355
43424.27094	0.122	65.532	372.493
43424.27095	0.122	65.699	373.737
43424.27097	0.163	65.845	375.033
43424.27098	0.098	514.133	993.074
43424.28129	0.081	98.467	562.669
43424.2813	0.13	99.149	566.823
43424.28131	0.089	99.574	569.356
43424.28133	0.081	100.04	571.951
43424.28134	0.341	100.461	574.429
43424.28135	0.122	100.655	575.555
43424.28136	0.114	100.766	576.172
43424.28137	0.097	101.083	577.938
43424.28138	0.105	155.995	909.716
43424.28139	0.081	154.422	900.35
43424.29171	0.048	153.711	895.9
43424.29172	0.064	154.037	897.907
43424.29173	0.081	154.129	898.494
43424.29174	0.072	154.149	898.72
43424.29175	0.081	155.162	904.451
43424.29176	0.097	157.126	915.308
43424.29178	0.089	159.452	928.619
43424.29179	0.081	10.295	59.34
43424.2918	0.072	10.525	59.362
43424.29181	0.04	10.282	59.251
43424.30212	1.974	10.41	59.965
43424.30214	1.974	9.929	57.394
43424.30215	1.974	9.08	52.199
43424.30216	2.006	9.008	51.823
43424.30217	1.974	8.774	50.278
