date_time,std_ntu,std_tot_par_a,std_b_g,std_b_r,time,std_wind_speed
43433.74,0.068181818,0.017563874,0.589059278,0.350517598,0.743032407,0.194341758
43431.59,0.045454545,0.361415371,0.5860924,0.320171841,0.586770833,0.222783855
43442.56,0.28030303,0.029175357,0.428280484,0.234918919,0.555659722,0.862693323
43434.7,0.03030303,0.089536562,0.603892544,0.496171171,0.701377315,0.113994719
43451.39,0.068181818,0.263843413,0.548146277,0.249937578,0.388935185,0.293775934
43457.7,0.189393939,0.108403564,0.587482811,0.26106466,0.701550926,0.912485854
43446.27,0.166666667,0.018776636,0.527882914,0.240332326,0.274386574,0.363032818
43482.72,0.022727273,0.036588083,0.607520542,0.42049763,0.72244213,0.487966805
43483.52,0.090909091,0.21421394,0.533589247,0.232941176,0.524513889,0.610712939
43457.42,0.022727273,0.133286123,0.55600749,0.417820069,0.420266204,0.935873255
43449.52,0.037878788,0.136891415,0.643005952,0.340683311,0.524375,0.595624293
43435.44,0.015151515,0.77173932,0.655498735,0.230098199,0.441018519,0.347717842
43439.61,0.022727273,0.213806781,0.667652833,0.271908731,0.607638889,0.788758959
43434.46,0.022727273,0.836528185,0.643983185,0.226642205,0.46181713,0.140399849
43473.59,0.265151515,0.158678336,0.42878971,0.189591206,0.587025463,0.196152395
43478.55,0.075757576,0.251275691,0.496053886,0.232183499,0.545381944,0.573745756
43427.31,0.045454545,0.09038274,0.616119352,0.455134855,0.305497685,0.500716711
43467.43,0.704545455,0.012621222,0.227036448,0.076708508,0.430763889,0.66050547
43428.69,0.022727273,0.059389755,0.77663912,0.389561458,0.690983796,0.483515654
43433.45,0.022727273,0.529751997,0.657019111,0.267721379,0.451400463,0.211391928
43481.61,0.053030303,0.337594879,0.526891138,0.237535737,0.607893519,0.430705394
43466.39,0.696969697,0.007360106,0.209441489,0.068777293,0.3890625,0.59788759
43437.77,0.045454545,0.001286046,0.616477273,0.3875,0.77431713,0.402942286
43452.58,0.053030303,0.475270954,0.569385311,0.230978539,0.576493056,0.256280649
43484.7,0.098484848,0.131123036,0.461159483,0.217949293,0.701643519,0.515579027
43431.44,0.03030303,0.319682078,0.607186926,0.322556976,0.440983796,0.162580158
43426.7,0.022727273,0.015763116,0.785319767,0.428809524,0.701342593,0.4116937
43432.47,0,0.379817055,0.586024945,0.277737853,0.472199074,0.376084496
